"Rank","Player","ATT","RuYDS","Y/A","LG","20+","RuTD","REC","TGT","ReYDS","Y/R","ReTD","FL","G","FPTS","FPTS/G","ROST"
"75","DeeJay Dallas (SEA)","35","186","5.3","27","1","0","17","19","126","7.4","0","0","15","47.2","3.1","0.9%"
"76","Boston Scott (PHI)","54","217","4.0","21","1","3","5","6","15","3.0","0","0","15","46.2","3.1","1.6%"
"77","Caleb Huntley (ATL)","76","366","4.8","30","3","1","2","2","3","1.5","0","0","12","44.9","3.7","0.6%"
"78","Elijah Mitchell (SF)","45","279","6.2","37","2","2","3","4","7","2.3","0","0","5","43.6","8.7","58.5%"
"79","Travis Homer (CHI)","19","74","3.9","16","0","0","16","18","157","9.8","1","1","12","43.1","3.6","0.8%"
"80","Raheem Blackshear (CAR)","23","77","3.3","16","0","3","10","12","93","9.3","0","1","13","43.0","3.3","0.4%"
"81","Ty Johnson (FA)","30","160","5.3","32","3","1","12","24","88","7.3","0","0","12","42.8","3.6","0.6%"
"82","Javonte Williams (DEN)","47","204","4.3","17","0","0","16","22","76","4.8","0","1","4","42.0","10.5","92.5%"
"83","Justice Hill (BAL)","49","262","5.3","34","2","0","12","12","58","4.8","0","1","15","42.0","2.8","0.5%"
"84","Marlon Mack (FA)","16","84","5.3","17","0","1","8","10","99","12.4","1","0","8","38.3","4.8","3.1%"
"85","Alec Ingold (MIA)","6","8","1.3","2","0","1","15","23","105","7.0","1","0","12","38.3","3.2","0.2%"
"86","Malik Davis (DAL)","38","161","4.2","23","2","1","6","7","63","10.5","0","0","6","34.4","5.7","0.8%"
"87","Jordan Mason (SF)","43","258","6.0","55","4","1","0","0","0","0","0","0","12","31.8","2.7","0.4%"
"88","Avery Williams (ATL)","22","109","5.0","21","1","1","13","14","61","4.7","0","1","17","31.5","1.9","0.7%"
"89","C.J. Ham (MIN)","4","7","1.8","3","0","2","10","12","86","8.6","0","0","11","31.3","2.8","0.2%"
"90","Craig Reynolds (DET)","23","102","4.4","21","1","0","9","10","116","12.9","0","0","7","30.8","4.4","0.8%"
"91","Kyren Williams (LAR)","35","139","4.0","17","0","0","9","12","76","8.4","0","0","8","30.5","3.8","1.7%"
"92","Gary Brightwell (NYG)","31","141","4.5","25","1","1","5","8","39","7.8","0","0","15","29.0","1.9","0.4%"
"93","Brandon Bolden (LV)","17","66","3.9","12","0","0","10","10","62","6.2","1","0","12","28.8","2.4","0.3%"
"94","Mike Boone (HOU)","24","102","4.3","18","0","0","9","15","96","10.7","0","0","8","28.8","3.6","0.4%"
"95","Pierre Strong Jr. (NE)","10","100","10.0","44","3","1","7","7","42","6.0","0","0","10","27.2","2.7","1.3%"
"96","Jonathan Williams (WAS)","37","152","4.1","23","1","0","7","10","40","5.7","0","0","9","26.2","2.9","0.3%"
"97","Hassan Haskins (TEN)","25","93","3.7","12","0","0","11","12","57","5.2","0","0","14","26.0","1.9","1.5%"
"98","Sony Michel (FA)","36","106","2.9","12","0","0","9","13","53","5.9","0","0","10","24.9","2.5","1.1%"
"99","Malcolm Brown (FA)","18","81","4.5","23","1","1","5","6","37","7.4","0","0","7","22.8","3.3","0.0%"
"100","Reggie Gilliam (BUF)","0","0","0","0","0","0","9","11","76","8.4","1","0","8","22.6","2.8","0.1%"
"101","Tevin Coleman (FA)","12","26","2.2","14","0","1","3","3","44","14.7","1","0","3","22.0","7.3","0.0%"
"102","Corey Clement (ARI)","15","55","3.7","12","0","1","5","7","54","10.8","0","0","5","21.9","4.4","0.4%"
"103","Darrel Williams (FA)","21","102","4.9","30","2","1","4","8","9","2.3","0","0","5","21.1","4.2","1.1%"
"104","Derek Watt (FA)","9","21","2.3","4","0","1","5","5","11","2.2","1","0","12","20.2","1.7","0.1%"
"105","Patrick Ricard (BAL)","7","16","2.3","5","0","0","11","13","74","6.7","0","0","13","20.0","1.5","0.1%"
"106","Royce Freeman (FA)","41","117","2.9","11","0","0","6","8","33","5.5","0","1","5","19.0","3.8","0.6%"
"107","Benny Snell Jr. (FA)","20","90","4.5","16","0","1","2","2","17","8.5","0","0","9","18.7","2.1","1.1%"
"108","Zander Horvath (LAC)","4","8","2.0","3","0","0","5","8","8","1.6","2","0","8","18.6","2.3","0.1%"
"109","Keaontay Ingram (ARI)","27","60","2.2","13","0","1","4","5","21","5.3","0","0","11","18.1","1.6","1.6%"
"110","Ronald Jones II (DAL)","17","70","4.1","13","0","1","1","1","22","22.0","0","0","5","16.2","3.2","2.6%"
"111","Phillip Lindsay (FA)","15","49","3.3","15","0","0","6","8","19","3.2","0","0","3","14.8","4.9","0.0%"
"112","Jordan Wilkins (FA)","13","58","4.5","9","0","0","6","8","29","4.8","0","0","4","14.7","3.7","0.0%"
"113","Salvon Ahmed (MIA)","12","64","5.3","11","0","1","1","1","8","8.0","0","0","7","14.2","2.0","0.1%"
"114","Chris Evans (CIN)","0","0","0","0","0","0","3","4","38","12.7","1","0","10","12.8","1.3","1.2%"
"115","Kene Nwangwu (MIN)","9","14","1.6","8","0","0","2","2","21","10.5","0","0","14","11.5","0.8","0.7%"
"116","Kevin Harris (NE)","18","52","2.9","14","0","1","0","0","0","0","0","0","5","11.2","2.2","0.4%"
"117","Darrynton Evans (FA)","14","64","4.6","21","1","0","1","1","33","33.0","0","0","3","10.7","3.6","0.1%"
"118","Tony Jones Jr. (DEN)","10","24","2.4","7","0","0","5","8","30","6.0","0","0","3","10.4","3.5","0.4%"
"119","Ty Montgomery (NE)","2","-2","-1.0","0","0","0","3","4","15","5.0","1","0","1","10.3","10.3","0.1%"
"120","Snoop Conner (JAC)","12","42","3.5","8","0","1","0","0","0","0","0","0","5","10.2","2.0","0.2%"
"121","Ke'Shawn Vaughn (TB)","17","53","3.1","12","0","0","3","4","19","6.3","0","0","9","10.2","1.1","0.6%"
"122","Ronnie Rivers (LAR)","9","21","2.3","5","0","0","5","5","29","5.8","0","0","2","10.0","5.0","0.2%"
"123","Tyrion Davis-Price (SF)","34","99","2.9","20","1","0","0","2","0","0","0","0","5","9.9","2.0","0.7%"
"124","Tyler Badie (DEN)","1","0","0.0","0","0","0","1","1","24","24.0","1","0","1","9.4","9.4","0.2%"
"125","Myles Gaskin (MIA)","10","26","2.6","10","0","0","4","6","28","7.0","0","0","2","9.4","4.7","0.6%"
"126","David Johnson (FA)","12","24","2.0","5","0","0","4","4","47","11.8","0","1","4","9.1","2.3","0.1%"
"127","Isaiah Spiller (LAC)","18","41","2.3","11","0","0","3","3","13","4.3","0","0","5","8.4","1.7","2.6%"
"128","Julius Chestnut (TEN)","9","12","1.3","5","0","0","3","3","41","13.7","0","0","6","8.3","1.4","0.3%"
"129","Trayveon Williams (CIN)","6","30","5.0","16","0","0","2","3","30","15.0","0","0","9","8.0","0.9","1.0%"
"130","Jaret Patterson (FA)","17","78","4.6","14","0","0","0","1","0","0","0","0","2","7.8","3.9","0.1%"
"131","Spencer Brown (CAR)","9","43","4.8","7","0","0","2","4","10","5.0","0","0","2","7.3","3.7","0.1%"
"132","Zamir White (LV)","17","70","4.1","22","1","0","0","0","0","0","0","0","11","7.0","0.6","6.6%"
"133","Trestan Ebner (CHI)","24","54","2.3","11","0","0","2","8","8","4.0","0","1","11","6.2","0.6","0.6%"
"134","Anthony McFarland Jr. (PIT)","6","30","5.0","14","0","0","2","2","11","5.5","0","0","1","6.1","6.1","0.2%"
"135","Jakob Johnson (LV)","0","0","0","0","0","0","5","6","10","2.0","0","0","11","6.0","0.5","0.6%"
"136","Patrick Taylor Jr. (GB)","10","31","3.1","6","0","0","1","1","17","17.0","0","0","7","5.8","0.8","0.1%"
"137","Dwayne Washington (NO)","11","38","3.5","8","0","0","1","1","7","7.0","0","0","7","5.5","0.8","0.6%"
"138","D'Ernest Johnson (JAC)","4","17","4.3","7","0","0","3","3","7","2.3","0","0","10","5.4","0.5","3.2%"
"139","Larry Rountree III (LAC)","13","19","1.5","5","0","0","2","2","14","7.0","0","0","3","5.3","1.8","0.1%"
"140","Jonathan Ward (TEN)","5","25","5.0","12","0","0","2","3","7","3.5","0","0","4","5.2","1.3","0.1%"
"141","Adam Prentice (NO)","4","9","2.3","3","0","0","3","3","9","3.0","0","0","6","4.8","0.8","0.6%"
"142","Giovani Bernard (FA)","8","28","3.5","8","0","0","2","2","-1","-0.5","0","0","4","4.7","1.2","0.1%"
"143","Mike Davis (FA)","8","18","2.3","10","0","0","2","2","4","2.0","0","0","5","4.2","0.8","0.6%"
"144","Michael Burton (DEN)","5","7","1.4","6","0","0","2","3","11","5.5","0","0","12","3.8","0.3","0.6%"
"145","J.J. Taylor (NE)","10","9","0.9","5","0","0","1","1","8","8.0","0","0","1","2.7","2.7","0.1%"
"146","Demetric Felton Jr. (CLE)","1","-4","-4.0","0","0","0","2","4","8","4.0","0","0","6","2.4","0.4","0.6%"
"147","Ty Chandler (MIN)","6","20","3.3","10","0","0","0","0","0","0","0","0","2","2.0","1.0","0.2%"
"148","Keith Smith (ATL)","1","2","2.0","2","0","0","1","2","8","8.0","0","0","10","2.0","0.2","0.1%"
"149","Trey Sermon (PHI)","2","19","9.5","14","0","0","0","0","0","0","0","0","1","1.9","1.9","0.3%"
"150","Godwin Igwebuike (FA)","3","4","1.3","4","0","0","1","1","3","3.0","0","0","5","1.7","0.3","1.0%"
"151","Devine Ozigbo (FA)","3","4","1.3","4","0","0","1","1","3","3.0","0","0","3","1.7","0.6","0.0%"
"152","Ty'Son Williams (ARI)","0","0","0","0","0","0","1","1","5","5.0","0","0","1","1.5","1.5","0.1%"
"153","Jerome Ford (CLE)","8","12","1.5","9","0","0","0","0","0","0","0","0","13","1.2","0.1","3.6%"
"154","Reggie Bonnafon (FA)","3","8","2.7","5","0","0","0","0","0","0","0","0","1","0.8","0.8","0.0%"
"155","Kylin Hill (FA)","1","7","7.0","7","0","0","0","0","0","0","0","0","1","0.7","0.7","0.1%"
"156","Duke Johnson Jr. (FA)","2","4","2.0","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"157","Damien Williams (FA)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.1%"
"158","Jordan Howard (FA)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","0.0%"
"159","Khari Blasingame (CHI)","0","0","0","0","0","0","0","1","0","0","0","0","5","0.0","0.0","0.6%"
"160","John Lovett (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Andrew Beck (HOU)","2","0","0.0","1","0","0","5","11","69","13.8","0","0","9","0.0","0.0","0.1%"
"162","Cullen Gillaspia (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"163","La'Mical Perine (KC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.4%"
"164","Chris Myarick (NYG)","0","0","0","0","0","0","7","8","65","9.3","1","0","10","0.0","0.0","0.0%"
"165","Austin Walter (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"166","Patrick Laird (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"167","Elijah Holyfield (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Damarea Crockett (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Qadree Ollison (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"171","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"172","Master Teague (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Sandro Platzgummer (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"174","Kennedy Brooks (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Mohamed Ibrahim (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","Jason Huntley (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"177","Rico Dowdle (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"178","Bryant Koback (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"179","Clint Ratkovich (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Kendre Miller (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15.1%"
"181","Israel Abanikanda (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.8%"
"182","Ben Mason (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"183","Gerrid Doaks (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"184","Jake Funk (IND)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"185","Sincere McCormick (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Zach Charbonnet (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55.0%"
"187","Nate McCrary (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Lew Nichols III (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"189","Emari Demercado (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Travis Dye (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Darius Hagans (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Robert Burns (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Hassan Hall (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Chris Smith (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"195","Jacob Saylors (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Calvin Tyler Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Marcus Cooper (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"198","Henry Pearson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"199","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"200","Robert Burns (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Ronald Awatt (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Khalan Laborn (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","Jack Colletto (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"204","Chris Rodriguez Jr Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"205","Charles McClelland (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"206","Tyler Hoosman (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"207","Elijah Dotson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","Monte Pottebaum (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","SaRodorick Thompson Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","Derek Parish (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"211","Tyreik McAllister (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"212","Troy Hairston II (HOU)","0","0","0","0","0","0","5","8","19","3.8","0","0","12","0.0","0.0","0.6%"
"213","B.J. Baylor (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","John Lovett (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"215","Brittain Brown (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"216","Roschon Johnson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.6%"
"217","Camerun Peoples (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Kenny McIntosh (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"219","Tiyon Evans (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Evan Hull (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"221","Chase Brown (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.4%"
"222","Tyjae Spears (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.5%"
"223","DeWayne McBride (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"224","Jerrion Ealy (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"225","Chris Rodriguez Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"226","Deuce Vaughn (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.0%"
"227","Tyler Goodson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Devon Achane (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39.6%"
"229","Bijan Robinson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.4%"
"230","Zach Evans (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.2%"
"231","Eric Gray (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"232","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Jahmyr Gibbs (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83.9%"
"234","Jashaun Corbin (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"235","Tank Bigsby (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.2%"
"236","Nick Bellore (SEA)","1","3","3.0","3","0","0","0","0","0","0","0","0","12","0.0","0.0","0.1%"
"237","Chad Spann (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
