"Rank","Player","REC","TGT","ReYDS","Y/R","LG","20+","ReTD","ATT","RuYDS","RuTD","FL","G","FPTS","FPTS/G","ROST"
"93","Van Jefferson (LAR)","24","44","369","15.4","39","9","3","0","0","0","0","10","78.9","7.9","6.4%"
"94","Nelson Agholor (BAL)","31","53","362","11.7","44","9","2","0","0","0","2","15","75.2","5.0","0.5%"
"95","Laviska Shenault Jr. (CAR)","27","32","272","10.1","67","8","1","9","65","1","0","13","72.7","5.6","0.7%"
"96","Jamal Agnew (JAC)","23","30","187","8.1","24","1","3","12","86","0","0","15","72.3","4.8","0.3%"
"97","Julio Jones (FA)","24","43","299","12.5","48","6","2","5","45","0","0","10","70.4","7.0","7.3%"
"98","Tyquan Thornton (NE)","22","45","247","11.2","29","4","2","3","16","1","0","12","66.3","5.5","14.3%"
"99","Dante Pettis (CHI)","19","41","245","12.9","51","7","3","2","37","0","0","17","65.2","3.8","0.1%"
"100","Equanimeous St. Brown (CHI)","21","38","323","15.4","56","9","1","6","54","0","0","16","64.7","4.0","0.3%"
"101","Tutu Atwell (LAR)","18","35","298","16.6","62","12","1","9","34","1","0","12","63.2","5.3","0.4%"
"102","Trenton Irwin (CIN)","15","23","231","15.4","45","6","4","1","11","0","0","9","63.2","7.0","0.2%"
"103","Shi Smith (CAR)","22","41","296","13.5","38","8","2","0","0","0","1","17","61.6","3.6","0.2%"
"104","A.J. Green (FA)","24","47","236","9.8","77","4","2","0","0","0","0","13","61.6","4.7","0.6%"
"105","Jarvis Landry (FA)","25","39","272","10.9","40","5","1","0","0","0","0","9","60.2","6.7","7.3%"
"106","Justin Watson (KC)","15","34","315","21.0","67","12","2","0","0","0","0","17","58.5","3.4","0.3%"
"107","Ray-Ray McCloud III (SF)","14","25","243","17.4","42","8","1","4","78","1","0","17","58.1","3.4","0.3%"
"108","Braxton Berrios (MIA)","18","32","145","8.1","25","2","0","9","91","2","0","17","57.7","3.4","0.8%"
"109","Kadarius Toney (KC)","16","20","171","10.7","38","5","2","7","82","1","1","9","57.3","6.4","89.1%"
"110","Kendall Hinton (DEN)","24","33","311","13.0","35","8","0","2","13","0","0","11","56.4","5.1","0.1%"
"111","Rashod Bateman (BAL)","15","28","285","19.0","75","12","2","0","0","0","1","6","53.5","8.9","73.4%"
"112","Tre'Quan Smith (NO)","19","27","278","14.6","48","6","1","0","0","0","0","10","52.8","5.3","0.2%"
"113","Chosen Anderson (MIA)","20","44","282","14.1","75","7","1","0","0","0","1","12","52.2","4.4","0.7%"
"114","Damiere Byrd (CAR)","13","23","268","20.6","75","8","2","0","0","0","0","12","51.8","4.3","0.0%"
"115","Phillip Dorsett II (LV)","20","40","257","12.9","34","6","1","0","0","0","0","15","51.7","3.4","0.1%"
"116","Wan'Dale Robinson (NYG)","23","31","227","9.9","19","0","1","2","-1","0","0","6","51.6","8.6","18.9%"
"117","Michael Thomas (NO)","16","22","171","10.7","21","2","3","0","0","0","0","3","51.1","17.0","90.8%"
